article_id	level	children	key	title	local_path	status
68e670b3-b8f3-4a55-9a19-d3073c117331	1	4	[1]	NGP-Vol3-[1]ပဋိစ္စသမုပ္ပါဒ်ပိုင်း - အပိုင်း (က)	vol_3/chinese/[1]缘起篇 - 部分（甲）/[1]缘起法篇 - 部分（甲）.md	matched
1ac6a221-a136-4da8-a6f4-78aa1930b05f	2	45	[1a]	NGP-Vol3-[1a]ပဋိစ္စသမုပ္ပါဒ်ဝိဘင်းပါဠိတော် - သုတ္တန္တဘာဇနီယနည်း	vol_3/chinese/[1]缘起篇 - 部分（甲）/[1]缘起分别巴利圣典/[1a]缘起分别巴利圣典 - 经分别法.md	matched
6974437d-83f0-41bc-bd63-d76fce5456fa	3	0	[3]	NGP-Vol3-[3]ကျက်မှတ်ရန် ပါဠိတော်၏ အနက်	vol_3/chinese/[1]缘起篇 - 部分（甲）/[1]缘起分别巴利圣典/[3]应熟记的巴利圣典之义.md	matched
f1a3b21d-bed0-490d-b201-fe2e7d9b4389	3	0	[12a]	NGP-Vol3-[12a] ပဋိစ္စသမုပ္ပါဒ်တရား		unmatched
587ba80c-f2a1-4641-8ff7-940fd003930a	3	0	[12b]	NGP-Vol3-[12b]ပဋိစ္စသမုပ္ပန္နတရား		unmatched
8ba3cf2b-0c98-4637-b579-0c658e34a64e	3	0	[13]	NGP-Vol3-[13] ပဋိစ္စသမုပ္ပါဒ်တရားတော်	vol_3/chinese/[1]缘起篇 - 部分（甲）/[1]缘起分别巴利圣典/[13] 缘起法门.md	matched
cae2a3f0-82e7-4faf-87b7-a8c53c751b20	3	0	[14]	NGP-Vol3-[14]လက္ခဏ - ရသ - ပစ္စုပဋ္ဌာန်	vol_3/chinese/[1]缘起篇 - 部分（甲）/[1]缘起分别巴利圣典/[14]相 - 作用 - 现起.md	matched
c51ba8b2-a5ab-4f7c-b521-2c1ea5487b56	3	0	[15a]	NGP-Vol3-[15a]ပဋိစ္စသမုပ္ပါဒ်ဟူသည်		unmatched
2e7b02f4-ffd1-4fa0-8bef-f018cfb8713e	3	0	[15b]	NGP-Vol3-[15b]ပထမနည်း အဖွင့်		unmatched
39790f3c-b8a0-44f2-9021-d16bb3a1762a	3	0	[21]	NGP-Vol3-[21] ဒုတိယနည်း အဖွင့်	vol_3/chinese/[1]缘起篇 - 部分（甲）/[1]缘起分别巴利圣典/[21] 第二种解释.md	matched
27ea6477-93bd-415b-960c-70887a06cc8c	3	0	[24]	NGP-Vol3-[24] တတိယနည်းအဖွင့်	vol_3/chinese/[1]缘起篇 - 部分（甲）/[1]缘起分别巴利圣典/[24] 第三种解释.md	matched
3fb23e18-689c-488e-bf68-6e0378381bcc	3	0	[25]	NGP-Vol3-[25] ရုပ်ကလာပ် နာမ်ကလာပ်	vol_3/chinese/[1]缘起篇 - 部分（甲）/[1]缘起分别巴利圣典/[25] 色聚 名聚.md	matched
b652d09d-ac00-401a-a5bb-623af55976e3	3	0	[27a]	NGP-Vol3-[27a]အကျိုးဂုဏ်အင် အာနိသင်		unmatched
9f2cf594-be51-4272-a414-626cc7824dcd	3	0	[27]b	NGP-Vol3-[27]b (က) ပဋိစ္စ - ပုဒ် 	vol_3/chinese/[1]缘起篇 - 部分（甲）/[1]缘起分别巴利圣典/[27]b (甲) 缘 - 词.md	matched
9a8e5e9f-a82a-41de-b355-55a8007b6f3e	3	0	[29]	NGP-Vol3-[29] (ခ) သမုပ္ပါဒ - ပုဒ်	vol_3/chinese/[1]缘起篇 - 部分（甲）/[1]缘起分别巴利圣典/[29] (乙) 集起 - 词.md	matched
004c66cf-c85c-461e-ad8e-9e8ef1b7e426	3	0	[31a]	NGP-Vol3-[31a] (ဂ) ပဋိစ္စ + သမုပ္ပါဒ - ပုဒ်		unmatched
a1451425-5526-4bcf-9e38-bf8910640eb8	3	0	[31b]	NGP-Vol3-[31b]ထပ်မံရှင်းလင်းချက်		unmatched
91598045-5373-4cdf-acc2-59248899a7c5	3	0	[38]	NGP-Vol3-[38] ဒေသနာဘေဒ ပဋိစ္စသမုပ္ပါဒ်ကို ဟောတော်မ	vol_3/chinese/[1]缘起篇 - 部分（甲）/[1]缘起分别巴利圣典/[38] 教导的区别 宣说缘起法.md	matched
998b82fa-987f-4fda-af60-0b5731275042	3	0	[40]	NGP-Vol3-[40] အာဟာရလေးပါး	vol_3/chinese/[1]缘起篇 - 部分（甲）/[1]缘起分别巴利圣典/[40] 四种食.md	matched
723888e2-dd37-446f-bca5-9b9442d0b3f2	3	0	[41]a	NGP-Vol3-[41]a အကမ္မဇအာဟာရ	vol_3/chinese/[1]缘起篇 - 部分（甲）/[1]缘起分别巴利圣典/[41]a 非业生食.md	matched
2594f3b6-4bb5-4b54-8d99-5f975b553406	3	0	[41]b	NGP-Vol3-[41]b လေးနည်းခွဲ၍ ဟောကြားတော်မူရခြင်း၏ အကြ	vol_3/chinese/[1]缘起篇 - 部分（甲）/[1]缘起分别巴利圣典/[41]b 分四种宣说的缘由.md	matched
31a79b8f-0e54-4e07-af49-b5aa53f9e3b8	3	0	[42]	NGP-Vol3-[42]ထပ်မံရှင်းလင်းချက်များ	vol_3/chinese/[1]缘起篇 - 部分（甲）/[1]缘起分别巴利圣典/[42]补充说明.md	matched
b064407a-449c-4920-ae09-9534390bd8ae	3	0	[45]	NGP-Vol3-[45] အာဟာရသုတ္တန်	vol_3/chinese/[1]缘起篇 - 部分（甲）/[1]缘起分别巴利圣典/[45] 食经.md	matched
29ffba73-420b-41a7-ae0a-ffbe00027b8a	3	0	[46]	NGP-Vol3-[46] ဘာသာပြန် အကျဉ်းချုပ်	vol_3/chinese/[1]缘起篇 - 部分（甲）/[1]缘起分别巴利圣典/[46] 简译摘要.md	matched
cb0f5060-10c7-4b22-8c02-536821f639d5	3	0	[47]	NGP-Vol3-[47] အဋ္ဌကထာ - ဋီကာ အဖွင့်များ	vol_3/chinese/[1]缘起篇 - 部分（甲）/[1]缘起分别巴利圣典/[47] 义注 - 复注的解释.md	matched
bd26c088-8113-4e97-8ee0-8b805d1f31fe	3	0	[48]	NGP-Vol3-[48] အာဟာရ (၄) မျိုးသာ ဟောရခြင်း အကြောင်း	vol_3/chinese/[1]缘起篇 - 部分（甲）/[1]缘起分别巴利圣典/[48] 只宣说四种食的缘由.md	matched
1f14bc9c-9d86-436f-a2d7-405e8d1d123a	3	0	[49]	NGP-Vol3-[49] ကျေးဇူးပြုပုံ	vol_3/chinese/[1]缘起篇 - 部分（甲）/[1]缘起分别巴利圣典/[49] 作助益的方式.md	matched
a8b75342-1876-4581-969e-9fb34d13e15d	3	0	[50]	NGP-Vol2-[50] ရှင်းလင်းချက်များ	vol_3/chinese/[1]缘起篇 - 部分（甲）/[1]缘起分别巴利圣典/[50] 解释说明.md	matched
dd7e3adf-ce2e-46f2-a02b-8bd8ae6a305f	3	0	[52]	NGP-Vol3-[52] ဘေးဆိုးကြီး လေးမျိုး	vol_3/chinese/[1]缘起篇 - 部分（甲）/[1]缘起分别巴利圣典/[52] 四种大灾祸.md	matched
1383ecb0-4cf2-46a7-a987-6b43a09923f3	3	0	[53]	NGP-Vol3-[53] တဏှာနိဒါန	vol_3/chinese/[1]缘起篇 - 部分（甲）/[1]缘起分别巴利圣典/[53] 渴爱因缘.md	matched
92a98084-b3f3-4238-9097-aeb8a2ea7eb1	3	0	[54]	NGP-Vol3-[54] အကြောင်း၏ အကြောင်းအဆက်ဆက်	vol_3/chinese/[1]缘起篇 - 部分（甲）/[1]缘起分别巴利圣典/[54] 因之因的层层相续.md	matched
ce3c771a-dcac-462d-ae70-ff55242596a1	3	0	[56]	NGP-Vol3-[56] လိုရင်းမှတ်သားရန်	vol_3/chinese/[1]缘起篇 - 部分（甲）/[1]缘起分别巴利圣典/[56] 应牢记的要点.md	matched
523846dd-fcf3-4af6-8cf0-cdfdf9b49742	3	0	[57]a	NGP-Vol3-[57]a အနာဂတ် ဘယ်လိုလဲ？	vol_3/chinese/[1]缘起篇 - 部分（甲）/[1]缘起分别巴利圣典/[57]a 未来是怎样的？.md	matched
0eecf7b4-8c89-497e-b1d9-d9e7640fc054	3	0	[57]b	NGP-Vol3-[57]b ပဋိစ္စသမုပ္ပါဒ် တတိယနည်း အဖွင့်များ	vol_3/chinese/[1]缘起篇 - 部分（甲）/[1]缘起分别巴利圣典/[57]b 缘起法第三种方法的诸解释.md	matched
f64aa8ee-4485-41f1-9d6a-7cd67ef84e77	3	0	[57]b	NGP-Vol3-[57]b ပဋိစ္စသမုပ္ပါဒ် တတိယနည်း အဖွင့်များ	vol_3/chinese/[1]缘起篇 - 部分（甲）/[1]缘起分别巴利圣典/[57]b 缘起法第三种方法的诸解释.md	matched
beb384ff-57fd-499d-924e-f966ccc56b20	3	0	[59]a	NGP-Vol3-[59]a ဆိုလိုရင်းအချက် သုံးရပ်	vol_3/chinese/[1]缘起篇 - 部分（甲）/[1]缘起分别巴利圣典/[59]a 要旨三点.md	matched
8eb6f53b-a20a-48ca-9009-572d59ec8dd3	3	0	[59]b	NGP-Vol3-[59]b က။ ပထမအဖွင့် ရှင်းလင်းချက်	vol_3/chinese/[1]缘起篇 - 部分（甲）/[1]缘起分别巴利圣典/[59]b 第一种阐释的说明.md	matched
9339bd5d-c5d7-49cc-9c47-5bc101e41651	3	0	[62]	NGP-Vol3-[62] အလယ်မှ အစသို့ ရှုကွက်	vol_3/chinese/[1]缘起篇 - 部分（甲）/[1]缘起分别巴利圣典/[62] 从中间到开头的观照.md	matched
dafacca8-5cc8-4477-9da5-a79922e8b566	3	0	[65]	NGP-Vol3-[65] အကြိမ်ကြိမ် ဆန်းစစ်ကြည့်ပါ	vol_3/chinese/[1]缘起篇 - 部分（甲）/[1]缘起分别巴利圣典/[65] 请反复审察.md	matched
6b5d5aaa-77a1-4645-a6cd-2cc7c7b6c1e6	3	0	[66]	NGP-Vol3-[66] ခ။ ဒုတိယအဖွင့်အရ အဓိပ္ပါယ်ယူဆပုံ	vol_3/chinese/[1]缘起篇 - 部分（甲）/[1]缘起分别巴利圣典/[66] 乙。依第二种阐释的取义方式.md	matched
89d3c55f-2d6a-4542-bbe7-650b17a88e38	3	0	[67]	NGP-Vol3-[67] ဂ။ ဋီကာတို့၏ တတိယအဖွင့်အရ အဓိပ္ပါယ်ယ	vol_3/chinese/[1]缘起篇 - 部分（甲）/[1]缘起分别巴利圣典/[67] 丙。依诸复注第三种阐释的取义方式.md	matched
953776b3-4521-427a-a3ce-2511efcec152	3	0	[69]a	NGP-Vol3-[69]a ဆိုလိုရင်းသဘောမှတ်ရန်	vol_3/chinese/[1]缘起篇 - 部分（甲）/[1]缘起分别巴利圣典/[69]a 应记住的含义要点.md	matched
2dcc6ede-4452-4068-8c62-ff1ee971e4bd	3	0	[69]b	NGP-Vol3-[69]b အစပ် (၃) ပါး， အလွှာ (၄) လွှာ	vol_3/chinese/[1]缘起篇 - 部分（甲）/[1]缘起分别巴利圣典/[69]b 三处连结，四层.md	matched
18365ccb-b5e8-4352-9afa-7e5bc167335d	3	0	[70]	NGP-Vol3-[70] ဤဋီကာတို့၏ တတိယအဖွင့်နှင့် အညီ ရှုကွ	vol_3/chinese/[1]缘起篇 - 部分（甲）/[1]缘起分别巴利圣典/[70] 依这些复注第三种解释而观.md	matched
6e741e04-c4f4-4932-ad44-fe84ba966a39	3	0	[71]	NGP-Vol3-[71] ပဋိစ္စသမုပ္ပါဒ် ဒေသနာတော် စတုတ္ထနည်း	vol_3/chinese/[1]缘起篇 - 部分（甲）/[1]缘起分别巴利圣典/[71] 缘起法说法 第四种方法.md	matched
9392a0e0-0d8a-4f29-8883-e403cd56e8ef	3	0	[73]	NGP-Vol3-[73] စတုတ္ထနည်း ရှုကွက်	vol_3/chinese/[1]缘起篇 - 部分（甲）/[1]缘起分别巴利圣典/[73] 第四种方法 观照.md	matched
427da0df-1b66-4327-ae8b-9e110e797157	3	0	[74]	NGP-Vol3-[74] အချိန်ရှိခိုက် လုံ့လစိုက်ပါ	vol_3/chinese/[1]缘起篇 - 部分（甲）/[1]缘起分别巴利圣典/[74] 趁有时机 请精进用功.md	matched
f0d9ded0-1868-4aec-b4a5-38787f20da47	2	14	[76]	NGP-Vol3-[76] ကိလေသဝဋ် ကမ္မဝဋ် ဝိပါကဝဋ်၏ အစွမ်းဖြ	vol_3/chinese/[1]缘起篇 - 部分（甲）/[76]依烦恼轮、业轮、异熟轮之力的收摄方式/[76]依烦恼轮、业轮、异熟轮之力的收摄方式.md	matched
b5db4027-5754-4566-8407-e8b3a0ebe1eb	3	0	[76]b	NGP-Vol3-[76]b အတိတ်အကြောင်းတရား (၅) ပါး	vol_3/chinese/[1]缘起篇 - 部分（甲）/[76]依烦恼轮、业轮、异熟轮之力的收摄方式/[76]b 过去因法（五）种.md	matched
d313a519-21e4-4375-ab9a-6758ae99e0ae	3	0	[77]a	NGP-Vol3-[77]a ပစ္စုပ္ပန်အကျိုးတရား (၅) ပါး	vol_3/chinese/[1]缘起篇 - 部分（甲）/[76]依烦恼轮、业轮、异熟轮之力的收摄方式/[77]a 现在的果报法(五)种.md	matched
75d68d64-6c50-4c3c-9387-5f753aa9a83e	3	0	[77]b	NGP-Vol3-[77]b ပစ္စုပ္ပန်အကြောင်းတရား (၅) ပါး	vol_3/chinese/[1]缘起篇 - 部分（甲）/[76]依烦恼轮、业轮、异熟轮之力的收摄方式/[77]b 现在因法（五）种.md	matched
3d2d21db-fb0b-48cf-b433-2e25186627e0	3	0	[77]c	NGP-Vol3-[77]c အနာဂတ်အကျိုးတရား (၅) ပါး	vol_3/chinese/[1]缘起篇 - 部分（甲）/[76]依烦恼轮、业轮、异熟轮之力的收摄方式/[77]c 未来的果报法(五)种.md	matched
29240ad4-5079-4e4a-955c-9d534b9f1d10	3	0	[77]d	NGP-Vol3-[77]d ပဋိစ္စသမုပ္ပါဒ် ပဉ္စမနည်း	vol_3/chinese/[1]缘起篇 - 部分（甲）/[76]依烦恼轮、业轮、异熟轮之力的收摄方式/[77]d 缘起法第五法.md	matched
0b5ece3c-d755-4f80-b95e-04f813196008	3	0	[78]a	NGP-Vol3-[78]a ဧကဒေသတော ဇာနိတဗ္ဗံ = တစ်စိတ် တစ်ဒေသ သိရမည်	vol_3/chinese/[1]缘起篇 - 部分（甲）/[76]依烦恼轮、业轮、异熟轮之力的收摄方式/[78]a 应了知一分一处.md	matched
6b27b53e-2fbc-4762-bdd9-183ba3526618	3	0	[78]b	NGP-Vol3-[78]b ပါကကာလ = အကျိုးပေးရာကာလနှင့် စပ်၍ ကံ	vol_3/chinese/[1]缘起篇 - 部分（甲）/[76]依烦恼轮、业轮、异熟轮之力的收摄方式/[78]b 果报时＝与给予果报的时段相关联的业.md	matched
9878088a-f0a0-45de-b447-8507e2820370	3	0	[79]	NGP-Vol3-[79] ပါကဒါနပရိယာယ = အကျိုးပေးရာ အလှည့်အ	vol_3/chinese/[1]缘起篇 - 部分（甲）/[76]依烦恼轮、业轮、异熟轮之力的收摄方式/[79]果报给予方便＝依给予果报之轮次次第的业（四）种.md	matched
d1c2705e-4552-4e49-b283-c979cee900d9	3	0	[80]	NGP-Vol3-[80] ကိစ္စနှင့်စပ်၍ ကံ (၄) မျိုး	vol_3/chinese/[1]缘起篇 - 部分（甲）/[76]依烦恼轮、业轮、异熟轮之力的收摄方式/[80]与作用相关的业（四）种.md	matched
