NGP-Vol5-,"[1]c ကလာပသမ္မသန ခေါ် နယဝိပဿနာ.md                                     "
NGP-Vol5-,"[21] သတိပဋ္ဌာန်လေးပါးသို့ ဝင်သွားပုံ.md                              "
NGP-Vol5-,"[22]a အထူးသတိပြုရန်အချက်.md                                          "
NGP-Vol5-,"[22]b ဓမ္မာနုပဿနာ သတိပဋ္ဌာန်.md                                      "
NGP-Vol5-,"[22]c အတိတ် အနာဂတ် ပစ္စုပ္ပန် ကာလသုံးပါး၌ ဝိပဿနာရှုပုံ1.md           "
NGP-Vol5-,"[25] ခန္ဓာ (၅) ပါး ရှုနည်း.md                                        "
NGP-Vol5-,"[29] ဩဠာရိကရုပ် - သုခုမရုပ်.md                                       "
NGP-Vol5-,"[30] ဟီနရုပ် - ပဏီတရုပ်.md                                           "
NGP-Vol5-,"[31] ဒူရရုပ် - သန္တိကရုပ်.md                                         "
NGP-Vol5-,"[34]a ဩဠာရိက ဝေဒနာ - သုခုမ ဝေဒနာ.md                                  "
NGP-Vol5-,"[34]b ၁။ ဇာတိ = ဇာတ်၏ အစွမ်းဖြင့် ဩဠာရိက သုခုမ ဖြစ်ပုံ1.md           "
NGP-Vol5-,"[37] ၂ ။ သဘာ၀၏ အစွမ်းဖြင့် ဩဠာရိက သုခုမ ဖြစ်ပုံ1.md                  "
NGP-Vol5-,"[38]a လှုပ်ရှားမှု - ချောက်ချားမှု.md                                "
NGP-Vol5-,"[38]b ၃။ ပုဂ္ဂိုလ်၏ အစွမ်းဖြင့် ဩဠာရိက သု.md                         "
NGP-Vol5-,"[39]a ၄။ လောကီ လောကုတ္တရာ၏ အစွမ်းဖြင့် ဩဠာ.md                        "
NGP-Vol5-,"[39]b ရှောင်ရှားသင့်သော အချက်.md                                     "
NGP-Vol5-,"[40] အချင်းချင်း ထောက်ဆ၍ ထောက်ဆ၍ ဩဠာရိက သုခုမ ယူပုံ1.md              "
NGP-Vol5-,"[41] တစ်နည်း ဩဠာရိက သုခုမ ခွဲပုံ.md                                  "
NGP-Vol5-,"[43]a ဟီန - ပဏီတ = အယုတ် - အမြတ်.md                                  "
NGP-Vol5-,"[43]b ဒူရ - သန္တိက = အဝေး - အနီး.md                                  "
NGP-Vol5-,"[43]c သင်္ခါရက္ခန္ဓာ.md                                              "
NGP-Vol5-,"[44] အကျုံးဝင်နိုင်ပုံ.md                                            "
NGP-Vol5-,"[45] နာမ်ခန္ဓာ လေးပါး.md                                             "
NGP-Vol5-,"[45]b ရူပက္ခန္ဓာ၌ ခွဲ၍ ရှုပုံ.md                                     "
NGP-Vol5-,"[47] လက္ခဏ၀ဝတ္ထာန ဝါရ = အနိစ္စသမ္မသန， ဒု.md                          "
NGP-Vol5-,"[47]b သီဟောပမသုတ္တန်.md                                              "
NGP-Vol5-,"[50]a သင်္ခါရဒုက္ခသည်သာ လိုရင်းဖြစ်သည်.md                            "
NGP-Vol5-,"[50]b သမ္မသနအပြား.md                                                 "
